wind direction,wind speed @ 10m
132.243,3.685
317.834,18.447
704.609,5.493
1187.513,15.084
127.010,6.876
397.244,6.402
924.964,7.748
3511.557,13.543
367.409,3.624
644.470,8.849
569.631,6.832
364.099,7.708
51.595,3.723
562.067,14.019
264.521,13.103
198.789,6.587
1068.902,5.098
541.756,12.246
419.412,9.504
1165.618,3.847
367.559,13.844
493.738,5.182
172.451,3.976
881.807,9.441
807.417,9.238
224.427,2.515
196.519,9.448
1099.788,5.306
1177.375,6.451
755.775,20.449
575.781,15.875
482.531,1.962
894.292,14.061
474.165,11.835
237.176,7.208
356.577,6.487
286.480,4.329
400.817,7.085
452.511,10.131
2706.655,5.666
3444.467,7.878
1445.912,14.321
863.628,7.160
671.077,9.711
197.243,3.543
512.299,11.006
223.350,7.311
331.258,6.474
352.354,9.519
39.880,4.722
150.783,3.241
1372.344,11.517
409.793,1.292
352.639,8.103
837.369,3.176
323.078,8.293
132.222,13.510
1128.576,15.087
384.193,11.485
1151.377,11.924
185.794,9.069
178.185,7.985
542.618,3.865
682.159,3.150
373.612,16.887
790.787,3.795
742.316,9.981
2158.303,10.102
906.700,7.538
535.704,4.116
171.619,14.089
319.661,10.719
545.124,2.993
1497.734,9.138
405.292,4.029
1481.701,8.056
491.735,13.748
297.737,3.886
514.524,6.323
1517.466,10.027
998.750,9.828
311.635,7.089
248.746,10.564
135.618,12.887
1019.702,6.996
123.821,8.871
829.068,21.226
1051.452,20.490
605.913,6.802
999.256,9.098
271.126,5.361
540.860,19.362
940.036,13.022
195.417,2.130
70.396,7.262
441.467,1.742
641.172,4.828
466.370,9.982
1232.528,10.348
365.202,5.355
1436.819,22.315
200.706,1.773
506.658,6.640
1665.883,5.331
236.033,4.562
117.214,3.467
748.704,10.817
819.019,14.742
987.796,5.722
730.169,10.834
632.626,9.651
1340.428,2.508
885.602,4.297
326.129,15.638
1130.694,12.051
364.398,4.943
600.487,16.599
920.406,10.836
1603.956,16.402
393.903,5.707
2190.342,1.515
414.064,15.951
111.125,7.723
219.027,7.372
153.291,10.902
2543.288,6.827
1447.882,7.328
1355.306,6.232
362.017,12.781
485.008,7.380
489.429,12.391
745.965,10.933
2614.944,8.334
383.912,9.822
663.001,8.293
1777.071,8.677
1714.377,12.126
1045.565,1.756
927.726,10.441
357.497,5.659
518.784,7.401
386.791,1.920
683.514,8.630
923.870,6.630
245.409,18.502
1280.084,9.465
1000.804,7.362
1218.429,11.793
420.834,10.768
1272.142,15.442
412.805,18.970
955.484,11.382
984.749,7.295
305.139,21.460
802.702,8.759
138.965,9.051
362.287,14.204
1111.975,1.395
1557.135,3.624
1356.385,12.852
760.641,8.910
333.835,7.150
2138.246,9.255
1094.111,13.067
570.446,10.530
333.387,3.886
137.564,8.214
261.437,3.579
1475.982,8.775
166.670,3.430
767.837,10.361
1147.458,10.314
21.770,4.991
1092.335,15.631
133.289,4.785
899.530,13.174
462.297,7.791
41.515,19.906
592.291,8.184
596.625,7.100
663.271,19.748
672.016,10.040
381.399,6.116
914.294,11.229
1038.772,8.175
474.483,12.490
593.472,10.218
590.080,5.452
597.590,19.626
528.492,4.984
786.017,10.054
1564.557,4.309
115.449,8.661
420.879,9.724
276.047,3.032
90.702,9.872
1286.199,10.788
265.224,9.344
982.028,5.751
486.510,5.374
592.438,9.704
79.964,7.382
129.854,9.895
1441.256,7.168
557.138,16.402
411.453,1.088
620.596,1.523
886.089,5.291
414.150,9.445
143.990,6.277
262.244,14.869
1292.159,9.558
531.652,5.929
353.755,0.857
233.024,10.034
1073.934,12.747
1056.692,3.637
468.291,16.060
381.021,6.270
173.405,6.017
552.039,3.525
644.968,6.734
731.342,7.786
995.405,20.685
806.679,11.807
682.058,9.080
1010.684,9.215
649.387,11.618
601.397,5.821
981.702,15.681
1041.574,1.037
1028.654,8.022
797.528,5.477
448.320,9.667
269.653,6.176
270.937,5.567
1389.129,11.163
159.331,7.248
466.635,11.061
